"","date","series_id","value","realtime_start","realtime_end"
"1",1959-01-01,"B235RC1Q027SBEA",0.952,2021-03-08,2021-03-08
"2",1959-04-01,"B235RC1Q027SBEA",1.076,2021-03-08,2021-03-08
"3",1959-07-01,"B235RC1Q027SBEA",1.092,2021-03-08,2021-03-08
"4",1959-10-01,"B235RC1Q027SBEA",1.076,2021-03-08,2021-03-08
"5",1960-01-01,"B235RC1Q027SBEA",1.176,2021-03-08,2021-03-08
"6",1960-04-01,"B235RC1Q027SBEA",1.084,2021-03-08,2021-03-08
"7",1960-07-01,"B235RC1Q027SBEA",1.016,2021-03-08,2021-03-08
"8",1960-10-01,"B235RC1Q027SBEA",0.988,2021-03-08,2021-03-08
"9",1961-01-01,"B235RC1Q027SBEA",0.976,2021-03-08,2021-03-08
"10",1961-04-01,"B235RC1Q027SBEA",0.956,2021-03-08,2021-03-08
"11",1961-07-01,"B235RC1Q027SBEA",1.068,2021-03-08,2021-03-08
"12",1961-10-01,"B235RC1Q027SBEA",1.12,2021-03-08,2021-03-08
"13",1962-01-01,"B235RC1Q027SBEA",1.192,2021-03-08,2021-03-08
"14",1962-04-01,"B235RC1Q027SBEA",1.212,2021-03-08,2021-03-08
"15",1962-07-01,"B235RC1Q027SBEA",1.184,2021-03-08,2021-03-08
"16",1962-10-01,"B235RC1Q027SBEA",1.22,2021-03-08,2021-03-08
"17",1963-01-01,"B235RC1Q027SBEA",1.2,2021-03-08,2021-03-08
"18",1963-04-01,"B235RC1Q027SBEA",1.228,2021-03-08,2021-03-08
"19",1963-07-01,"B235RC1Q027SBEA",1.236,2021-03-08,2021-03-08
"20",1963-10-01,"B235RC1Q027SBEA",1.244,2021-03-08,2021-03-08
"21",1964-01-01,"B235RC1Q027SBEA",1.236,2021-03-08,2021-03-08
"22",1964-04-01,"B235RC1Q027SBEA",1.288,2021-03-08,2021-03-08
"23",1964-07-01,"B235RC1Q027SBEA",1.34,2021-03-08,2021-03-08
"24",1964-10-01,"B235RC1Q027SBEA",1.408,2021-03-08,2021-03-08
"25",1965-01-01,"B235RC1Q027SBEA",1.424,2021-03-08,2021-03-08
"26",1965-04-01,"B235RC1Q027SBEA",1.624,2021-03-08,2021-03-08
